Subject,Start Date,Start Time
LPL 2020 Summer - OMG vs SN,2020-07-27,07:59
LPL 2020 Summer - BLG vs RW,2020-07-28,07:59
LPL 2020 Summer - EDG vs LNG,2020-07-28,07:59
LPL 2020 Summer - JDG vs ES,2020-07-29,07:59
LPL 2020 Summer - FPX vs LGD,2020-07-29,07:59
LPL 2020 Summer - WE vs V5,2020-07-30,07:59
LPL 2020 Summer - TES vs SN,2020-07-30,07:59
LPL 2020 Summer - RNG vs DMO,2020-07-31,07:59
LPL 2020 Summer - LGD vs VG,2020-07-31,07:59
LPL 2020 Summer - RW vs LNG,2020-08-01,07:59
LPL 2020 Summer - EDG vs BLG,2020-08-01,07:59
LPL 2020 Summer - iG vs OMG,2020-08-01,07:59
LPL 2020 Summer - V5 vs JDG,2020-08-02,07:59
LPL 2020 Summer - ES vs WE,2020-08-02,07:59
LPL 2020 Summer - TES vs RNG,2020-08-02,07:59
LPL 2020 Summer - FPX vs DMO,2020-08-03,07:59
LPL 2020 Summer - BLG vs LGD,2020-08-03,07:59
LPL 2020 Summer - EDG vs V5,2020-08-04,07:59
LPL 2020 Summer - OMG vs WE,2020-08-04,07:59
LPL 2020 Summer - LNG vs LGD,2020-08-05,07:59
LPL 2020 Summer - ES vs TES,2020-08-05,07:59
LPL 2020 Summer - V5 vs RW,2020-08-06,07:59
LPL 2020 Summer - RNG vs BLG,2020-08-06,07:59
LPL 2020 Summer - SN vs VG,2020-08-07,07:59
LPL 2020 Summer - JDG vs OMG,2020-08-07,07:59
LPL 2020 Summer - LNG vs DMO,2020-08-08,07:59
LPL 2020 Summer - ES vs EDG,2020-08-08,07:59
LPL 2020 Summer - TES vs WE,2020-08-08,07:59
LPL 2020 Summer - RW vs RNG,2020-08-09,07:59
LPL 2020 Summer - FPX vs SN,2020-08-09,07:59
LPL 2020 Summer - iG vs VG,2020-08-09,07:59
